AREA;Regione;prov;2019_CodCom;NTN 2019 fino a 50 mq;NTN  2019 50 -| 85 mq;NTN 2019 85 -| 115 mq;NTN  2019 115 -| 145 mq;NTN  2019 oltre 145 mq;NTN 2019
Isole;Sardegna;SS;A115;0;0;0;0;1;1
Nord Ovest;Piemonte;TO;A117;2;4;4;2;2;14
Nord Ovest;Lombardia;PV;A118;0;0;0;0;1,5;1,5
Nord Ovest;Piemonte;VC;A119;14,17;20;4,53;2,83;4,33;45,86
Sud;Abruzzo;PE;A120;3,67;5,5;0;2,5;5;16,67
Nord Est;Veneto;BL;A121;0;0;2,9;4;9,67;16,57
Nord Ovest;Liguria;SV;A122;42,73;115,72;68,83;26;18,77;272,05
Centro;Lazio;FR;A123;7,67;18;23,84;16,9;24,5;90,91
Nord Ovest;Piemonte;CN;A124;35,14;147,61;131,02;57,35;52,64;423,76
Sud;Abruzzo;TE;A125;44,22;145,44;50,67;22,17;12,33;274,83
Isole;Sardegna;OR;A126;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;0;22,22;26,03;6,5;6,22;60,97
Sud;Campania;SA;A128;1;2,5;3,5;6,67;4,5;18,17
Nord Ovest;Lombardia;BG;A129;5;21;44,14;34;19;123,14
Nord Ovest;Piemonte;VC;A130;0;0;0;0;0;0
Sud;Basilicata;PZ;A131;0;3;1;0;0;4
Centro;Lazio;RM;A132;17,33;141,99;97,89;60,49;43,19;360,89
Nord Ovest;Lombardia;PV;A134;0;0;0;0,5;3;3,5
Nord Ovest;Lombardia;SO;A135;0;0;1;0;0;1
Nord Est;Veneto;VR;A137;0;6,17;18,5;9,65;22,68;57
Nord Est;Emilia-Romagna;PR;A138;4;4;1;5,51;8,51;23,02
Nord Ovest;Piemonte;CN;A139;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A143;3;26,49;12;18,84;10;70,33
Nord Ovest;Liguria;SV;A145;33;118,83;54;21,93;19,7;247,46
Nord Ovest;Piemonte;AL;A146;0;0;0;1;1;2
Sud;Puglia;BA;A149;17,5;18,77;18,67;13,3;16,5;84,74
Sud;Puglia;FG;A150;6,83;4;1,17;0,25;1;13,25
Nord Ovest;Lombardia;CO;A153;0;13;14,5;2,71;10;40,21
Nord Est;Veneto;VI;A154;1;2;2;5;8,5;18,5
Sud;Calabria;CZ;A155;3,66;1;3;0;3;10,66
Nord Ovest;Piemonte;TO;A157;0;0;2;0;2;4
Nord Ovest;Lombardia;MI;A159;8;29,42;30;34;10,5;111,92
Sud;Calabria;CS;A160;1,14;2;1;0;0;4,14
Nord Est;Veneto;PD;A161;8;57,62;95,04;79,89;107,06;347,61
Nord Est;Emilia-Romagna;RE;A162;0;13;18,5;7,67;28,75;67,92
Nord Ovest;Lombardia;BG;A163;6,75;54,17;65,09;39,17;23,52;188,7
Nord Ovest;Lombardia;CO;A164;1;13,33;4;6;7;31,33
Nord Ovest;Liguria;SV;A165;7;52,58;27,95;4,33;6,13;97,99
Nord Ovest;Liguria;SV;A166;12;53,5;29,83;9;3;107,33
Nord Ovest;Lombardia;VA;A167;0;14;20;10;8,5;52,5
Nord Ovest;Lombardia;PV;A171;0;0;2;0;1;3
Nord Ovest;Lombardia;SO;A172;2,5;2;4;6,42;3,22;18,14
Nord Ovest;Piemonte;AT;A173;0;0;0;0;5,5;5,5
Nord Ovest;Lombardia;PV;A175;1;14,4;18,5;14;7,5;55,4
Isole;Sicilia;TP;A176;36,4;82,74;109,01;77,45;53,58;359,18
Isole;Sicilia;ME;A177;1;3;2;1;1;8
Isole;Sardegna;OR;A180;0;1;0;2,8;3;6,8
Isole;Sicilia;AG;A181;0,67;1;4;2;2;9,67
Nord Ovest;Piemonte;AL;A182;85,79;312,58;300,14;133,04;196,52;1028,07
Sud;Calabria;CS;A183;1;1;0;2;0;4
Sud;Puglia;LE;A184;3;13,5;4;5;9,5;35
Sud;Puglia;LE;A185;6;14;13,25;9,84;14;57,09
Sud;Campania;SA;A186;0;0;0;0;0;0
Sud;Abruzzo;AQ;A187;6;22,67;6;2;0;36,67
Nord Ovest;Lombardia;BS;A188;0;0;2,03;0,89;4,5;7,42
Nord Ovest;Piemonte;AL;A189;0;0,67;1;0;9,67;11,34
Nord Est;Emilia-Romagna;RA;A191;2;17;27,69;15;31,42;93,11
Isole;Sardegna;SS;A192;104,88;230,96;188;102,64;50,13;676,61
Nord Ovest;Lombardia;BG;A193;2,02;0;1,01;0;1;4,03
Isole;Sicilia;ME;A194;0;0;0,33;1;0;1,33
Isole;Sicilia;PA;A195;0;6;6,33;3;5;20,33
Sud;Basilicata;MT;A196;0;1;0;0;0;1
Nord Ovest;Piemonte;AL;A197;0;1;3;0;3,67;7,67
Nord Ovest;Piemonte;VC;A198;0;0;4;5;3;12
Sud;Campania;CE;A200;2;2;1;1;11,96;17,96
Isole;Sicilia;ME;A201;1;9;4;7,5;3;24,5
Isole;Sicilia;PA;A202;0,88;5;6,87;7,89;8,81;29,45
Isole;Sicilia;PA;A203;0;1;2;1,5;1;5,5
Isole;Sardegna;OR;A204;0;1;0;1;1,33;3,33
Nord Ovest;Valle d'Aosta;AO;A205;0;1;0;1;0;2
Nord Est;Veneto;BL;A206;8;13,5;14,5;4,33;2;42,33
Centro;Umbria;TR;A207;1;0;2;4;1;8
Sud;Puglia;LE;A208;4,8;13;4,13;10,67;8,33;40,93
Centro;Lazio;RM;A210;4,5;6,5;4;0;1;16
Nord Ovest;Lombardia;BG;A214;4;15;19,75;16,34;5;60,09
Nord Ovest;Lombardia;BG;A215;5;7,25;11,9;7;6,63;37,78
Nord Ovest;Lombardia;BG;A216;7;18;21,09;19,1;16,25;81,44
Nord Ovest;Lombardia;BG;A217;2;6,33;16,42;5,92;14,67;45,34
Nord Ovest;Piemonte;TO;A218;5,75;14,33;12,75;7,4;23,7;63,93
Nord Est;Veneto;VI;A220;1;2;1;2;5;11
Nord Ovest;Piemonte;TO;A221;1;4;2;0;0;7
Nord Ovest;Piemonte;TO;A222;5;95,93;61;24,9;37;223,83
Nord Est;Emilia-Romagna;PC;A223;3;4;12,33;9;16,17;44,5
Nord Ovest;Lombardia;CO;A224;0;5,5;4;2;5;16,5
Sud;Puglia;BA;A225;52,66;105,34;187,76;87,96;67,88;501,6
Nord Ovest;Liguria;SV;A226;1;11,78;13;4;3,5;33,28
Nord Ovest;Piemonte;AL;A227;0;0;0;0;1;1
Sud;Campania;AV;A228;2;4,96;7,17;7;5,17;26,3
Isole;Sicilia;PA;A229;7,33;20,18;27,78;37,3;21;113,59
Sud;Campania;SA;A230;0,17;5,17;8,33;3,33;14,5;31,5
Nord Est;Veneto;VI;A231;8;58,5;43,5;15,9;27,3;153,2
Centro;Marche;AP;A233;2;14;11,5;5;3;35,5
Sud;Calabria;CS;A234;0;0;0;0;0;0
Sud;Abruzzo;CH;A235;4;4;10,75;5,5;3;27,25
Nord Est;Veneto;VI;A236;1;0,17;0;0;3,66;4,83
Nord Est;Veneto;TV;A237;0,75;8;9;7;27,25;52
Nord Ovest;Piemonte;CN;A238;0;0;0;0;0;0
Isole;Sicilia;PA;A239;9,94;4;8,67;5;19;46,61
Sud;Calabria;CS;A240;4,5;3;4;3;4,5;19
Centro;Toscana;LU;A241;2;63;43,22;40;30,34;178,56
Centro;Umbria;TR;A242;1;2,17;2,5;0;2;7,67
Sud;Campania;CE;A243;2;2,67;1,44;5,08;5,5;16,69
Centro;Lazio;FR;A244;1,75;2,75;1;3;6;14,5
Nord Ovest;Piemonte;AL;A245;0;0;0;0;2;2
Nord Ovest;Lombardia;BG;A246;11,89;43,67;66,39;25,86;18;165,81
Nord Ovest;Lombardia;CO;A249;0;13;11;7,58;7;38,58
Sud;Campania;SA;A251;6,05;10,45;7,1;4,25;2;29,85
Centro;Marche;AP;A252;0;5,67;7;5,87;2,5;21,04
Sud;Calabria;CS;A253;5,33;35,83;26,5;16;15,66;99,32
Nord Est;Friuli- Venezia Giulia;UD;A254;0;0;1;1;8;10
Sud;Calabria;CZ;A255;0;1;1;1;0;3
Centro;Lazio;FR;A256;0;2;2;0;2;6
Sud;Calabria;CZ;A257;0;0;3;1;1;5
Centro;Lazio;RI;A258;8,5;7,5;2,25;1;0,83;20,08
Nord Ovest;Lombardia;BG;A259;2;5;7,5;1,5;5;21
Nord Ovest;Liguria;SP;A261;13,99;29,77;12,5;10;9,33;75,59
Centro;Umbria;TR;A262;3,5;25;41,5;24,95;39,26;134,21
Sud;Calabria;CS;A263;4;7;2;3;4,5;20,5
Nord Ovest;Piemonte;NO;A264;1;4;1,5;0,33;6;12,83
Sud;Campania;BN;A265;1;0;2;4;10;17
Nord Est;Friuli- Venezia Giulia;UD;A267;0;3;1,5;0;0;4,5
Sud;Campania;NA;A268;4,67;7;10;3;2;26,67
Centro;Lazio;FR;A269;13,91;38,17;50,5;9,03;25,95;137,56
Sud;Abruzzo;TE;A270;0;1;6;5;2,5;14,5
Centro;Marche;AN;A271;63,97;326,04;423,11;220,7;165,2;1199,02
Sud;Calabria;CZ;A272;1;1,5;0;0;1,5;4
Nord Ovest;Lombardia;SO;A273;0;1;0;1;0;2
Nord Ovest;Piemonte;TO;A275;0;1;4,5;2;9,5;17
Nord Ovest;Liguria;SV;A278;78;102,81;34;14;7,5;236,31
Nord Ovest;Piemonte;BI;A280;2;10,08;8;1;7,08;28,16
Sud;Puglia;LE;A281;3;1,67;3,5;3;2,5;13,67
Nord Ovest;Piemonte;TO;A282;0;2;0;0;3,5;5,5
Nord Est;Friuli- Venezia Giulia;PN;A283;1;0;1;0,5;1;3,5
Sud;Campania;AV;A284;0;2,67;0;3;0,25;5,92
Sud;Puglia;BA;A285;58,15;187,83;243,66;183,4;92,57;765,61
Isole;Sardegna;SS;A287;0;1;0;0;2;3
Nord Ovest;Lombardia;BS;A288;2;3;1,5;0;0;6,5
Nord Ovest;Lombardia;VA;A290;6;21,5;15,8;18,5;20,9;82,7
Centro;Toscana;AR;A291;1;3,5;14,55;13;19,5;51,55
Nord Est;Veneto;VR;A292;0;3;3;12;19,5;37,5
Nord Ovest;Lombardia;BS;A293;12;7,5;0,67;0;2,17;22,34
Sud;Campania;SA;A294;18;40,4;69,28;86,94;39;253,62
Nord Ovest;Piemonte;TO;A295;3;10;5,25;2;5,25;25,5
Nord Est;Veneto;PD;A296;3,5;2;9;7;15;36,5
Centro;Lazio;RM;A297;10;59,97;40,67;16,25;28,94;155,83
Nord Ovest;Lombardia;CR;A299;2;1;3;2;10,5;18,5
Nord Ovest;Piemonte;AT;A300;0;2;1;3;5;11
Nord Ovest;Lombardia;LC;A301;0;4;4;5;3;16
Nord Est;Veneto;VE;A302;2;3;8;1;14;28
Sud;Calabria;RC;A303;1;3;1;1;1;7
Nord Ovest;Lombardia;BG;A304;1;5;16;10;10,67;42,67
Nord Ovest;Valle d'Aosta;AO;A305;7,88;14;6;0;0;27,88
Nord Ovest;Valle d'Aosta;AO;A308;4;3;1;0;0;8
Centro;Lazio;RM;A309;1;1;3;0;0;5
Centro;Lazio;FR;A310;28,01;39,19;33,67;10,53;9,5;120,9
Nord Ovest;Piemonte;AT;A312;0;0;0;1,83;4;5,83
Isole;Sicilia;ME;A313;0;1;2;2;0;5
Sud;Calabria;RC;A314;9;1;0;0;1;11
Centro;Lazio;RI;A315;1,33;4;5,33;2,25;5;17,91
Nord Ovest;Piemonte;VB;A317;2;4;2,33;3,25;0,25;11,83
Sud;Abruzzo;AQ;A318;0;1;2;0,22;0;3,22
Nord Ovest;Lombardia;CO;A319;0;7;6;2;5,6;20,6
Sud;Puglia;FG;A320;0;2;4;1;0;7
Sud;Basilicata;PZ;A321;1;5;2,24;0;0,65;8,89
Centro;Lazio;RM;A323;52,54;288,36;282,96;145,42;110,65;879,93
Nord Est;Emilia-Romagna;BO;A324;6;48,84;55;22,5;28,1;160,44
Nord Ovest;Piemonte;VB;A325;0;1;1,5;1,33;0;3,83
Nord Ovest;Valle d'Aosta;AO;A326;34,5;125,58;125,51;47,5;20,5;353,59
Centro;Marche;PS;A327;0;6;5,17;2;7,86;21,03
Sud;Campania;BN;A328;1;8;9;6;9,1;33,1
Centro;Marche;MC;A329;2,17;2;5,67;2;3,5;15,34
Sud;Campania;BN;A330;0;4;1,11;1;2,5;8,61
Nord Ovest;Lombardia;CO;A333;7;17,5;23;11;21,5;80
Centro;Marche;MC;A334;1;2;11,94;6;6,5;27,44
Centro;Marche;AP;A335;0;0;0;1;2;3
Nord Ovest;Lombardia;SO;A337;31,25;34,78;12;2;1;81,03
Nord Ovest;Liguria;IM;A338;3;8;1;1;0;13
Sud;Puglia;FG;A339;11,33;12;27,83;22,78;8,55;82,49
Sud;Calabria;CS;A340;0;0;2;0;8;10
Centro;Lazio;LT;A341;33,5;209,82;168,32;89,34;79,6;580,58
Sud;Campania;SA;A343;4;2;1;0,5;1;8,5
Nord Ovest;Liguria;IM;A344;0;0;0,75;0;0;0,75
Sud;Abruzzo;AQ;A345;26,18;105,98;175,4;144,64;127,62;579,82
Sud;Campania;AV;A347;4;5;6;2,5;0,67;18,17
Centro;Lazio;FR;A348;2;7,33;7;3;8;27,33
Sud;Puglia;LE;A350;11;10,5;7;6;9,5;44
Isole;Sicilia;AG;A351;8;8,17;10;9,17;24,9;60,24
Nord Ovest;Piemonte;AT;A352;0;0;0;0;3,5;3,5
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0,67;0;2;11;13,67
Isole;Sardegna;NU;A355;7,31;65,5;28,56;20,5;15,5;137,37
Isole;Sardegna;OR;A357;2;4;3,92;5,08;9,92;24,92
Nord Ovest;Piemonte;VC;A358;1;4;1;1;0;7
Isole;Sardegna;CA;A359;6,5;16,81;10,83;3,2;11,82;49,16
Nord Est;Veneto;TV;A360;0,67;9,75;9;9;7,67;36,09
Centro;Lazio;FR;A363;7;1,5;5;1,5;15;30
Nord Ovest;Lombardia;BG;A365;2;13,5;22,5;6,5;9,17;53,67
Centro;Marche;AN;A366;3;8;6;6;11,15;34,15
Sud;Abruzzo;CH;A367;0;0;1,5;2;1;4,5
Isole;Sardegna;OR;A368;0;2;0;1,83;5,5;9,33
Centro;Toscana;GR;A369;3;15;11;6,66;17,25;52,91
Centro;Lazio;RM;A370;3,5;18,5;3,5;0;1;26,5
Nord Ovest;Lombardia;VA;A371;5,5;24,33;28,5;16,5;16;90,83
Nord Ovest;Liguria;SP;A373;11;47,67;22,33;11,5;9;101,5
Nord Est;Veneto;VR;A374;1;8;15;10,8;21,84;56,64
Nord Ovest;Lombardia;MI;A375;3;18,5;20;8,46;9;58,96
Nord Ovest;Lombardia;MI;A376;28,5;86,13;107,06;27,63;39,88;289,2
Nord Est;Veneto;VI;A377;2;7,44;9,44;15;30,94;64,82
Isole;Sardegna;SS;A379;0;0;0;0;2,17;2,17
Isole;Sardegna;OR;A380;0;0;0;0;1;1
Nord Ovest;Lombardia;SO;A382;4;2;6;0,75;7;19,75
Nord Ovest;Lombardia;BG;A383;5;14,58;11,91;4,5;4,68;40,67
Sud;Calabria;RC;A385;7,75;11,87;12,2;2,5;5,75;40,07
Sud;Calabria;VV;A386;0;2;0,67;0;0;2,67
Nord Ovest;Lombardia;PV;A387;0;1,67;0,75;2,5;7,17;12,09
Nord Ovest;Liguria;GE;A388;19,5;78,82;54,25;29,67;11;193,24
Nord Ovest;Lombardia;MI;A389;7,5;69,75;88,35;51,5;61,93;279,03
Centro;Toscana;AR;A390;42,83;229,67;244,85;185,26;181,31;883,92
Nord Ovest;Lombardia;CO;A391;1;10,5;6;7;4;28,5
Nord Est;Emilia-Romagna;BO;A392;6;38,83;34,9;18;14,46;112,19
Nord Est;Emilia-Romagna;FE;A393;4,75;37,5;52,5;44,75;63,09;202,59
Nord Ovest;Piemonte;CN;A394;8;3;0;1;1;13
Nord Ovest;Piemonte;CN;A396;0;0;0;0;1;1
Sud;Calabria;CZ;A397;0;1;0;0;0;1
Sud;Abruzzo;CH;A398;2;1;1;4;4,5;12,5
Sud;Campania;AV;A399;6,42;26,99;22,73;29;29,09;114,23
Nord Est;Veneto;RO;A400;2;5;9,5;8,67;9,5;34,67
Centro;Lazio;RM;A401;9,5;46,22;41,88;26;32,5;156,1
Sud;Abruzzo;CH;A402;2;2;0;2;5;11
Sud;Campania;CE;A403;0;0;11;5;6,08;22,08
Nord Ovest;Piemonte;TO;A405;0;0;2;2;1;5
Isole;Sardegna;NU;A407;0;1,66;3,01;2,04;2;8,71
Nord Ovest;Piemonte;VB;A409;2;4;2;3;12,9;23,9
Centro;Lazio;VT;A412;0;2;2;0;2;6
Nord Ovest;Lombardia;MI;A413;4;64,9;56;28,5;10;163,4
Nord Ovest;Piemonte;NO;A414;0;4;5;2,83;8;19,83
Sud;Basilicata;PZ;A415;1;0;0;0;0;1
Nord Ovest;Liguria;IM;A418;0;0;0;0;1;1
Isole;Sardegna;CA;A419;0;0;0;1,33;2;3,33
Centro;Lazio;FR;A421;0;0;0;0;0;0
Nord Ovest;Liguria;SV;A422;0;2;0;1;1;4
Nord Ovest;Valle d'Aosta;AO;A424;0;2;1;1;0;4
Sud;Puglia;LE;A425;1;3;6;5,33;5;20,33
Nord Ovest;Piemonte;VB;A427;1;0;0;0;2;3
Nord Ovest;Piemonte;NO;A429;11;84,08;93,25;33,11;31,17;252,61
Nord Ovest;Lombardia;CO;A430;3;13;22;21;11,5;70,5
Sud;Campania;BN;A431;1;0;0;1;1;3
Sud;Campania;BN;A432;1;4;2,5;1;1;9,5
Centro;Lazio;FR;A433;7,12;11,86;9,33;14;19;61,31
Nord Est;Veneto;PD;A434;1;1;2,5;0,17;13;17,67
Nord Est;Veneto;RO;A435;0;3;4;7,33;13,33;27,66
Nord Ovest;Piemonte;AL;A436;3,5;22;28;9;6;68,5
Centro;Marche;AP;A437;2,29;2;0,82;0;1;6,11
Nord Est;Veneto;PD;A438;0;3,17;2;5;11,17;21,34
Centro;Umbria;TR;A439;1;2;8;6;6;23
Nord Ovest;Lombardia;BG;A440;0;2,5;9;5,5;4;21
Nord Ovest;Lombardia;VA;A441;4;9;12,99;3,33;8;37,32
Nord Est;Veneto;BL;A443;3,33;4;4;5,07;12,66;29,06
Nord Est;Veneto;VI;A444;0;7;8,3;9;11,94;36,24
Sud;Abruzzo;TE;A445;0;1;1;0;1;3
Centro;Lazio;RM;A446;1;2,5;2;3;1,5;10
Nord Est;Friuli- Venezia Giulia;UD;A447;1;11,67;6;1;3,75;23,42
Nord Est;Friuli- Venezia Giulia;UD;A448;0;3;4;6;13,17;26,17
Centro;Lazio;RM;A449;7,33;16,67;31,33;9,5;12,33;77,16
Nord Ovest;Lombardia;BS;A451;10,06;20,81;10,4;3;6,53;50,8
Nord Ovest;Valle d'Aosta;AO;A452;1;1;3,08;1;2;8,08
Isole;Sardegna;SS;A453;25,79;84,51;47,85;28,29;41,89;228,33
Isole;Sardegna;NU;A454;0;0;0;0;1,68;1,68
Sud;Campania;NA;A455;22,91;25,89;47,97;30,69;10;137,46
Nord Est;Veneto;PD;A458;0;6;10;9,5;14;39,5
Nord Est;Veneto;VI;A459;7;62,28;85,66;55,67;62,53;273,14
Sud;Campania;SA;A460;10;35,25;14,62;6;7,91;73,78
Centro;Toscana;SI;A461;4;19,9;13,55;12;8;57,45
Centro;Marche;AP;A462;6,5;74,95;117,68;81,15;78,94;359,22
Sud;Puglia;FG;A463;13;13,56;9;8,58;10,67;54,81
Centro;Lazio;RI;A464;1,5;2,17;1;0;0;4,67
Nord Est;Veneto;VI;A465;12,77;58,67;38,1;23,84;16,31;149,69
Nord Ovest;Piemonte;VC;A466;0;1,5;1;1;10;13,5
Nord Est;Veneto;VI;A467;1;0;1;1;3;6
Centro;Toscana;SI;A468;3;18;22;17,5;31,18;91,68
Nord Ovest;Lombardia;MN;A470;3;20,5;23,13;14;28,28;88,91
Nord Est;Veneto;TV;A471;1;31,5;11;9,56;28,89;81,95
Centro;Lazio;RI;A472;2;4;6;5,67;12;29,67
Nord Ovest;Lombardia;MI;A473;7;49,5;52,22;16,67;11;136,39
Isole;Sardegna;CA;A474;10;80,72;57,09;26,75;34,9;209,46
Centro;Umbria;PG;A475;22,08;88,5;77,33;48,5;64,33;300,74
Nord Ovest;Lombardia;CO;A476;4;13;7;4;7,5;35,5
Isole;Sardegna;OR;A477;0;0;0;0;1;1
Isole;Sicilia;EN;A478;2;3,67;6,8;6;8,34;26,81
Nord Ovest;Piemonte;AT;A479;69,16;311,84;255,74;101,16;134,5;872,4
Isole;Sardegna;OR;A480;0;0;0;0;0;0
Sud;Abruzzo;AQ;A481;2,33;9;1;0;0;12,33
Sud;Basilicata;PZ;A482;0;6;1;7,29;6;20,29
Sud;Campania;SA;A484;1;2;2;2;4;11
Sud;Abruzzo;CH;A485;4;9;12;8;12;45
Centro;Lazio;FR;A486;2;5;5,33;8,33;8,63;29,29
Sud;Campania;SA;A487;1;2;0;0;1;4
Sud;Abruzzo;TE;A488;1;7,75;20;7;11,5;47,25
Sud;Campania;AV;A489;2;9,83;20;18,5;16,5;66,83
Centro;Umbria;TR;A490;3,36;4;7;0;6;20,36
Nord Est;Friuli- Venezia Giulia;UD;A491;1;4;6;3;12,17;26,17
Isole;Sardegna;NU;A492;0;0,5;0;1;2;3,5
Isole;Sicilia;SR;A494;23,93;111,99;104,88;88,67;57,26;386,73
Sud;Campania;SA;A495;0;1;1,5;1;0;3,5
Centro;Toscana;MS;A496;4;25,5;22,51;15,17;17,25;84,43
Nord Ovest;Piemonte;VB;A497;1;5,5;0;0;0;6,5
Nord Ovest;Liguria;IM;A499;1;0;2;1;2;6
Nord Est;Veneto;BL;A501;13,5;15,25;14,85;3,33;6;52,93
Centro;Lazio;FR;A502;2;1;1;1;5;10
Isole;Sardegna;NU;A503;1;1;0;0;1;3
Nord Ovest;Liguria;GE;A506;0;4;4,5;5,5;5;19
Sud;Campania;AV;A508;3;7;4,5;5,28;15,57;35,35
Sud;Campania;AV;A509;10,27;48,27;91,17;98,79;117,65;366,15
Nord Ovest;Lombardia;BG;A511;1;1;0;0;2;4
Sud;Campania;CE;A512;26,59;48,12;86,17;102,08;79,67;342,63
Sud;Puglia;TA;A514;2;8;8,5;4,97;6,17;29,64
Sud;Abruzzo;AQ;A515;24;65,12;88,02;63,33;57,67;298,14
Nord Est;Friuli- Venezia Giulia;PN;A516;22;46,5;30,4;17;43,56;159,46
Nord Ovest;Lombardia;BG;A517;3;25,25;2,25;1;3,5;35
Nord Ovest;Piemonte;TO;A518;0;32,5;42;33,5;43,75;151,75
Sud;Basilicata;PZ;A519;3;13;9,5;9,5;3;38
Nord Ovest;Valle d'Aosta;AO;A521;1;1;1;1;3;7
Isole;Sicilia;SR;A522;26,67;56;48,22;52,58;52,08;235,55
Nord Ovest;Piemonte;AL;A523;0;1;0,38;0;2;3,38
Nord Ovest;Piemonte;TO;A525;0;1;0;2;6;9
Nord Ovest;Lombardia;CR;A526;0;3;0;4;5;12
Nord Ovest;Piemonte;AT;A527;1;1;0;1;4,5;7,5
Nord Ovest;Lombardia;BG;A528;6;17;25,05;13;15;76,05
Nord Ovest;Lombardia;BS;A529;0;11;12;14;7;44
Nord Est;Friuli- Venezia Giulia;PN;A530;0;37,5;40,9;28;47,5;153,9
Nord Ovest;Lombardia;VA;A531;0;16;14,67;9;9;48,67
Nord Ovest;Lombardia;VA;A532;0;0;0;0;1;1
Nord Ovest;Lombardia;BG;A533;0;0;1;0;1;2
Nord Ovest;Piemonte;VB;A534;1,35;8;1,08;1;2,38;13,81
Sud;Campania;NA;A535;10,56;42,9;34,97;23,92;10;122,35
Nord Ovest;Liguria;IM;A536;8;4;3,33;0;0;15,33
Nord Ovest;Lombardia;PV;A538;0;0;0;2;0,25;2,25
Nord Est;Veneto;RO;A539;3,5;19;22,75;28,5;34,5;108,25
Nord Est;Veneto;VR;A540;3;5,61;10,33;3,33;8,44;30,71
Centro;Toscana;AR;A541;1;2;2,25;2;0,33;7,58
Sud;Calabria;CZ;A542;5;18,17;9;3,5;2;37,67
Sud;Calabria;RC;A544;0;2;0;1;1;4
Isole;Sicilia;PA;A546;24,34;65,62;71,55;87,67;48,1;297,28
Nord Est;Emilia-Romagna;RA;A547;2;39;24,92;14,94;65,75;146,61
Nord Ovest;Lombardia;PV;A550;0;0;0;0;2;2
Nord Est;Emilia-Romagna;RA;A551;0;9;5,5;3,25;5;22,75
Sud;Calabria;RC;A552;2;8,5;12;6;4;32,5
Nord Est;Friuli- Venezia Giulia;UD;A553;1;9;11;4;17,5;42,5
Nord Ovest;Piemonte;CN;A555;0;1;1;3;3;8
Nord Ovest;Lombardia;BG;A557;8,67;16,5;47;11;12;95,17
Centro;Toscana;LU;A560;3,66;12;13;16;33,13;77,79
Centro;Toscana;PT;A561;26,21;92,1;81,6;53,83;45,97;299,71
Centro;Toscana;PI;A562;11;59,5;83,64;56,14;90,41;300,69
Centro;Toscana;FI;A564;14,5;57,33;53,82;43,25;58,47;227,37
Nord Est;Emilia-Romagna;FO;A565;3;16,5;13,5;9,5;9;51,5
Sud;Campania;AV;A566;1,67;6,18;8;4,25;5,56;25,66
Sud;Molise;IS;A567;1;3,25;2,89;1,75;0;8,89
Nord Est;Veneto;PD;A568;1;4,75;9,75;12,27;12,25;40,02
Nord Ovest;Lombardia;BS;A569;4;30,53;25,69;26,5;38,2;124,92
Nord Ovest;Lombardia;CR;A570;3;16;22;7;11,82;59,82
Nord Ovest;Piemonte;CN;A571;28,06;26,17;9,75;11,17;16,64;91,79
Sud;Puglia;LE;A572;1;2;1;1,5;1;6,5
Nord Est;Emilia-Romagna;RE;A573;1;15;37,5;13,5;27,75;94,75
Nord Est;Veneto;RO;A574;1;3;2;1;6,67;13,67
Nord Ovest;Lombardia;MN;A575;1;36;39;6,5;12,83;95,33
Centro;Toscana;MS;A576;2,67;6;5,67;4,5;7;25,84
Centro;Lazio;VT;A577;3;9,17;10,5;2,75;11,67;37,09
Nord Ovest;Lombardia;BS;A578;1,67;6,47;7,56;5;7,5;28,2
Sud;Campania;CE;A579;0;1;0,5;0;4;5,5
Sud;Campania;AV;A580;1;2;6,22;3;11;23,22
Nord Ovest;Liguria;IM;A581;4;3;3;1;2;13
Nord Ovest;Piemonte;TO;A584;0;1;1;0;5;7
Nord Est;Emilia-Romagna;RE;A586;2;12,25;4,5;3;10,5;32,25
Nord Ovest;Piemonte;TO;A587;2;6,33;10;6;13,33;37,66
Nord Ovest;Piemonte;AT;A588;0;3;7;2;1;13
Nord Ovest;Piemonte;CN;A589;0;1;2;0;6;9
Nord Ovest;Piemonte;TO;A590;0;1;1;1,5;5;8,5
Nord Ovest;Piemonte;TO;A591;2;11;5;9,5;26,5;54
Isole;Sicilia;PA;A592;12;16,58;15,2;5,5;16,34;65,62
Nord Ovest;Liguria;SV;A593;3;4;3,5;4;0;14,5
Nord Ovest;Lombardia;LC;A594;5,56;20,69;10;4,75;9,7;50,7
Isole;Sardegna;CA;A597;1;0;1;0;1;3
Nord Ovest;Piemonte;TO;A599;6;4;0;3,5;0;13,5
Nord Ovest;Piemonte;VC;A600;0;2;1;0;0;3
Nord Ovest;Piemonte;VC;A601;0;0;0;0;1,15;1,15
Sud;Abruzzo;AQ;A603;2;7,8;4,5;0;1;15,3
Sud;Basilicata;PZ;A604;0;3;3,95;0;3;9,95
Nord Ovest;Piemonte;AL;A605;0;2;2;1;6;11
Isole;Sardegna;SS;A606;0;0;1;0;1;2
Nord Ovest;Piemonte;TO;A607;7;19;13;3;8;50
Isole;Sardegna;OR;A609;0;0;1;0;0;1
Nord Ovest;Piemonte;VB;A610;0;2;2;1;0;5
Sud;Basilicata;PZ;A612;5;2;3;3;2;15
Nord Est;Veneto;PD;A613;2;0;5,94;4;11,17;23,11
Isole;Sardegna;OR;A614;0;0;0;0;0;0
Sud;Basilicata;PZ;A615;0;2;1;2;2;7
