AREA;Regione;prov;2018_CodCom;NTN fino a 50 mq;NTN 50 -| 85 mq;NTN  85 -| 115 mq;NTN 115 -| 145 mq;NTN  oltre 145 mq;NTN 2018
Sud;Campania;SA;A230;0,24;4,41;7,5;3;11,17;26,32
Nord Est;Veneto;VI;A231;9;50;54,5;19,83;21,87;155,2
Centro;Marche;AP;A233;0,5;14,75;19;4,33;2;40,58
Sud;Calabria;CS;A234;0,5;0;0;0;0,83;1,33
Sud;Abruzzo ;CH;A235;2;7;6;7;0;22
Nord Est;Veneto;VI;A236;0;2;3;2,2;3,83;11,03
Nord Est;Veneto;TV;A237;0,25;8,5;12;7,25;22,99;50,99
Nord Ovest;Piemonte;CN;A238;1;0;1;0;1;3
Isole;Sicilia;PA;A239;5,17;5,67;11;10,25;10,17;42,26
Sud;Calabria;CS;A240;0;2;1;1;3;7
Centro;Toscana;LU;A241;1;43,58;53,5;28,38;49,92;176,38
Centro;Umbria;TR;A242;1;1;1;0;2;5
Sud;Campania;CE;A243;2;2;3,5;3;10,33;20,83
Centro;Lazio;FR;A244;0;4;4,83;2;4;14,83
Nord Ovest;Piemonte;AL;A245;0;0;0;0;3;3
Nord Ovest;Lombardia;BG;A246;18;57,67;55,6;18,17;21,5;170,94
Nord Ovest;Lombardia;CO;A249;0;6,88;11,5;5,5;4;27,88
Sud;Campania;SA;A251;2;12;8,72;3,5;7,83;34,05
Centro;Marche;AP;A252;1,29;7;4,67;2;5;19,96
Sud;Calabria;CS;A253;6,5;33,97;31,83;26;19,17;117,47
Nord Est;Friuli- Venezia Giulia;UD;A254;0,67;0;2;4;3,63;10,3
Sud;Calabria;CZ;A255;1;1;0;0;1;3
Centro;Lazio;FR;A256;1;3;1;1;4;10
Sud;Calabria;CZ;A257;1;1;2;0;2;6
Centro;Lazio;RI;A258;4;1,33;0,5;1;2,11;8,94
Nord Ovest;Lombardia;BG;A259;1;5;10;3;2,75;21,75
Nord Ovest;Liguria;SP;A261;12,09;21,5;8,31;10,93;12;64,83
Centro;Umbria;TR;A262;3,5;23;28,33;19,5;28,16;102,49
Sud;Calabria;CS;A263;0,8;10,27;6;1;1;19,07
Nord Ovest;Piemonte;NO;A264;0;0;1;0,25;6,5;7,75
Sud;Campania;BN;A265;0;0;0;3;3;6
Nord Est;Friuli- Venezia Giulia;UD;A267;0;1;0;2;1;4
Sud;Campania;NA;A268;4;5,08;6,75;5;8;28,83
Centro;Lazio;FR;A269;5,08;22,78;31,5;20,86;22,67;102,89
Sud;Abruzzo ;TE;A270;0;3;3;3;1;10
Centro;Marche;AN;A271;60,28;297,42;392,58;212,11;138,64;1101,03
Sud;Calabria;CZ;A272;1;0;0;0;0;1
Nord Ovest;Lombardia;SO;A273;1;1;0;1;0;3
Nord Ovest;Piemonte;TO;A275;1;1,5;5;3,6;4;15,1
Nord Ovest;Liguria;SV;A278;57;100,39;27,65;3;6,5;194,54
Nord Ovest;Piemonte;BI;A280;2,65;7;8,33;8,5;8,67;35,15
Sud;Puglia;LE;A281;5;1,9;6;4,22;2,1;19,22
Nord Ovest;Piemonte;TO;A282;0;3;2;1;0;6
Nord Est;Friuli- Venezia Giulia;PN;A283;0;0;1;0;0;1
Sud;Campania;AV;A284;2;0;3,5;1;2;8,5
Sud;Puglia;BA;A285;31;132,72;282,55;185,67;112,33;744,27
Isole;Sardegna;SS;A287;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A288;0;3;0;0;0;3
Nord Ovest;Lombardia;VA;A290;4,5;14,5;12;12,5;11;54,5
Centro;Toscana;AR;A291;1;6,37;6,25;9,67;16;39,29
Nord Est;Veneto;VR;A292;2;6,5;4;6;4;22,5
Nord Ovest;Lombardia;BS;A293;9;5;6;2;6;28
Sud;Campania;SA;A294;25;38,69;76,3;65,76;37;242,75
Nord Ovest;Piemonte;TO;A295;1;4;8,67;3,66;6;23,33
Nord Est;Veneto;PD;A296;1,67;7,17;7;6;9,33;31,17
Centro;Lazio;RM;A297;6;49,17;30,17;17,47;34,35;137,16
Nord Ovest;Lombardia;CR;A299;1;2;4;2;5,5;14,5
Nord Ovest;Piemonte;AT;A300;1;4;3;2;4;14
Nord Ovest;Lombardia;LC;A301;0;2;9;3;5;19
Nord Est;Veneto;VE;A302;0;3;3,5;4;15,33;25,83
Sud;Calabria;RC;A303;0;1;2;1;0;4
Nord Ovest;Lombardia;BG;A304;1;10;6;10;9,67;36,67
Nord Ovest;Valle d'Aosta;AO;A305;3;6;2;1;0;12
Nord Ovest;Valle d'Aosta;AO;A308;4;3;2;1;1;11
Centro;Lazio;RM;A309;2;0;0;1;1;4
Centro;Lazio;FR;A310;25,87;60,5;17,5;10,5;8,5;122,87
Nord Ovest;Piemonte;AT;A312;1;2;1;3;9,5;16,5
Isole;Sicilia;ME;A313;0;1;2;0;0;3
Sud;Calabria;RC;A314;0;0;0;0;0,67;0,67
Centro;Lazio;RI;A315;1,17;2;4;5;1;13,17
Nord Ovest;Piemonte;VB;A317;3;1;3;1;0,5;8,5
Sud;Abruzzo ;AQ;A318;1;1,5;0;0;0;2,5
Nord Ovest;Lombardia;CO;A319;0;3;4,5;6;2;15,5
Sud;Puglia;FG;A320;0;2;2;1;1;6
Sud;Basilicata;PZ;A321;4;5;5;0;0;14
Centro;Lazio;RM;A323;57,08;294,35;293,61;144,78;108,59;898,41
Nord Est;Emilia-Romagna;BO;A324;5;58,33;54,67;15,5;16,5;150
Nord Ovest;Piemonte;VB;A325;1;0;0;0;0;1
Nord Ovest;Valle d'Aosta;AO;A326;39,5;125,05;104,07;39,51;30,44;338,57
Centro;Marche;PS;A327;0;2;0,17;2;2,5;6,67
Sud;Campania;BN;A328;0;4;7,39;7;5,25;23,64
Centro;Marche;MC;A329;2;0,5;2;0;5,17;9,67
Sud;Campania;BN;A330;2;3,89;0;1;0,5;7,39
Nord Ovest;Lombardia;CO;A333;0,17;22;36;13,33;24;95,5
Centro;Marche;MC;A334;0;0;4,5;2,33;3,5;10,33
Centro;Marche;AP;A335;1;1;2;3;1;8
Nord Ovest;Lombardia;SO;A337;34;30,1;10,17;2,33;2;78,6
Nord Ovest;Liguria;IM;A338;3,5;9,5;4;4,25;0;21,25
Sud;Puglia;FG;A339;2;8;16,47;16,33;9,83;52,63
Sud;Calabria;CS;A340;0;1;2,5;0;3;6,5
Centro;Lazio;LT;A341;25,5;213,71;188,35;101,1;78,78;607,44
Sud;Campania;SA;A343;0;3,33;1;1,5;1;6,83
Nord Ovest;Liguria;IM;A344;0;0;1;0;0;1
Sud;Abruzzo ;AQ;A345;35,52;130,55;134,5;138,18;107,36;546,11
Sud;Campania;AV;A347;0;5,71;3;0,67;2;11,38
Centro;Lazio;FR;A348;1;4;2,86;5;9,79;22,65
Sud;Puglia;LE;A350;4;18,67;10,5;5,5;8;46,67
Isole;Sicilia;AG;A351;11;11,89;13,47;11,36;9,17;56,89
Nord Ovest;Piemonte;AT;A352;0;0;0;1;4,66;5,66
Nord Est;Friuli- Venezia Giulia;PN;A354;1;1;1;2;3,92;8,92
Isole;Sardegna;NU;A355;5,46;53,72;35,11;13;22;129,29
Isole;Sardegna;OR;A357;0;1;4;2;4,66;11,66
Nord Ovest;Piemonte;VC;A358;2;3;3,5;1;3,5;13
Isole;Sardegna;CA;A359;17;13,7;16,41;8,15;11,01;66,27
Nord Est;Veneto;TV;A360;0;5;19,48;7;15,5;46,98
Centro;Lazio;FR;A363;2;3;10;7,5;7;29,5
Nord Ovest;Lombardia;BG;A365;0;16,17;12,31;7,01;7,5;42,99
Centro;Marche;AN;A366;4;1;8,46;3,49;5,25;22,2
Sud;Abruzzo ;CH;A367;0;2,74;2;0,56;1;6,3
Isole;Sardegna;OR;A368;2;2;3,5;3,92;5,25;16,67
Centro;Toscana;GR;A369;3;14,75;12,5;6,5;9;45,75
Centro;Lazio;RM;A370;7;13,67;3,67;6;4;34,34
Nord Ovest;Lombardia;VA;A371;8;31,33;38,22;21,17;20;118,72
Nord Ovest;Liguria;SP;A373;14,5;35,5;37;18,5;7,33;112,83
Nord Est;Veneto;VR;A374;0;20,8;22,71;6,66;21;71,17
Nord Ovest;Lombardia;MI;A375;2;17,72;22,5;16;20;78,22
Nord Ovest;Lombardia;MI;A376;23;72,13;69;18,33;21,33;203,79
Nord Est;Veneto;VI;A377;1;5;13,67;17;34,25;70,92
Isole;Sardegna;SS;A379;0;0;2;2;2;6
Isole;Sardegna;OR;A380;0;0;0;3;2,83;5,83
Nord Ovest;Lombardia;SO;A382;1;8;3;2;4;18
Nord Ovest;Lombardia;BG;A383;4;10;10;6;2;32
Sud;Calabria;RC;A385;1;15,7;12,5;7;7;43,2
Sud;Calabria;VV;A386;0;1;0,67;0;1,67;3,34
Nord Ovest;Lombardia;PV;A387;1;2;2;2;6;13
Nord Ovest;Liguria;GE;A388;19;76,02;52,71;19,16;16,75;183,64
Nord Ovest;Lombardia;MI;A389;16,5;74;103,67;45,33;61,03;300,53
Centro;Toscana;AR;A390;35,05;195,92;276,81;193,82;168,25;869,85
Nord Ovest;Lombardia;CO;A391;3,67;20,5;5;2;7,5;38,67
Nord Est;Emilia-Romagna;BO;A392;5,33;35,5;41,23;19,5;14;115,56
Nord Est;Emilia-Romagna;FE;A393;2,5;37;48,21;41,47;60,24;189,42
Nord Ovest;Piemonte;CN;A394;7,33;4,5;2;1;0;14,83
Nord Ovest;Piemonte;CN;A396;0;0;1;0;2;3
Sud;Calabria;CZ;A397;0;0;1;0,5;0;1,5
Sud;Abruzzo ;CH;A398;0;0;0;0;3;3
Sud;Campania;AV;A399;12;16;22,17;32,12;22,58;104,87
Nord Est;Veneto;RO;A400;2;4;6,67;5;11;28,67
Centro;Lazio;RM;A401;16;33,3;37,78;27,84;34,09;149,01
Sud;Abruzzo ;CH;A402;0;0;0;0;2;2
Sud;Campania;CE;A403;1;0,28;8,29;2,5;7;19,07
Nord Ovest;Piemonte;TO;A405;0;0;3;3;1;7
Isole;Sardegna;NU;A407;1;4;1,5;1,64;1;9,14
Nord Ovest;Piemonte;VB;A409;1;2,5;1;3;6;13,5
Centro;Lazio;VT;A412;0;2;0;1;2;5
Nord Ovest;Lombardia;MI;A413;9;65,17;58,58;19,02;17,16;168,93
Nord Ovest;Piemonte;NO;A414;1,5;4;2;3;7;17,5
Sud;Basilicata;PZ;A415;0;0;3;0;1;4
Nord Ovest;Liguria;IM;A418;0;0;0;0;0;0
Isole;Sardegna;CA;A419;0;0;0,5;0,67;1;2,17
Centro;Lazio;FR;A421;1;1;1;1;4,25;8,25
Nord Ovest;Liguria;SV;A422;0;1;1;0;0;2
Nord Ovest;Valle d'Aosta;AO;A424;0;1;1;1,75;1;4,75
Sud;Puglia;LE;A425;1;5;7;6,75;2,5;22,25
Nord Ovest;Piemonte;VB;A427;0;0;1;0;0;1
Nord Ovest;Piemonte;NO;A429;11;55,92;74;48,5;24,5;213,92
Nord Ovest;Lombardia;CO;A430;2;17;29;9;13,5;70,5
Sud;Campania;BN;A431;1;0;0,95;2;2;5,95
Sud;Campania;BN;A432;1;2;0;1;3,75;7,75
Centro;Lazio;FR;A433;1,5;6;5,5;4;12,5;29,5
Nord Est;Veneto;PD;A434;1;2;2,51;2;11,76;19,27
Nord Est;Veneto;RO;A435;11;7;9;1;6,5;34,5
Nord Ovest;Piemonte;AL;A436;3;18;24;9;2;56
Centro;Marche;AP;A437;0;0;1,5;0;0;1,5
Nord Est;Veneto;PD;A438;0;1;4;3;8,67;16,67
Centro;Umbria;TR;A439;1;5;7;4,75;7,5;25,25
Nord Ovest;Lombardia;BG;A440;0;10;7;7,67;2;26,67
Nord Ovest;Lombardia;VA;A441;1;13;12;5;14,22;45,22
Nord Est;Veneto;BL;A443;1,34;7,67;7,67;4,17;8,12;28,97
Nord Est;Veneto;VI;A444;5,25;7;9,35;4,67;12,17;38,44
Sud;Abruzzo ;TE;A445;0;0;0;0;1;1
Centro;Lazio;RM;A446;2;1;1;3;5,33;12,33
Nord Est;Friuli- Venezia Giulia;UD;A447;1;3;2,33;4;6;16,33
Nord Est;Friuli- Venezia Giulia;UD;A448;0;4;3;2;4;13
Centro;Lazio;RM;A449;7;21,5;15;6;7;56,5
Nord Ovest;Lombardia;BS;A451;7,37;15,43;10,5;2;6;41,3
Nord Ovest;Valle d'Aosta;AO;A452;1;2;3;0;0;6
Isole;Sardegna;SS;A453;32,77;103,83;50,14;18,32;36,75;241,81
Isole;Sardegna;NU;A454;0;0;1;1;5;7
Sud;Campania;NA;A455;15,67;28,43;56,13;37,3;11,9;149,43
Nord Est;Veneto;PD;A458;0,29;5,12;8;5,13;21,54;40,08
Nord Est;Veneto;VI;A459;8;48,5;76,17;51,67;59,83;244,17
Sud;Campania;SA;A460;7;38,33;20,5;5,94;5,93;77,7
Centro;Toscana;SI;A461;1;10,44;17,33;10,34;6,94;46,05
Centro;Marche;AP;A462;20,91;68,14;115,98;97,19;51,62;353,84
Sud;Puglia;FG;A463;3;16,68;15,55;11,5;6;52,73
Centro;Lazio;RI;A464;3;7;1;0;0;11
Nord Est;Veneto;VI;A465;26,06;70,03;36,97;16,19;6,49;155,74
Nord Ovest;Piemonte;VC;A466;0;2;1;0,83;5;8,83
Nord Est;Veneto;VI;A467;0,5;1,5;0;2,29;12;16,29
Centro;Toscana;SI;A468;3;12;18,25;14,67;16,75;64,67
Nord Ovest;Lombardia;MN;A470;4;18,5;17,83;15,5;36,39;92,22
Nord Est;Veneto;TV;A471;2;36;7;7,5;26;78,5
Centro;Lazio;RI;A472;0;5,66;7,5;2;5,5;20,66
Nord Ovest;Lombardia;MI;A473;8;48,5;36;22,68;16,4;131,58
Isole;Sardegna;CA;A474;3;77,93;57,3;28;26,29;192,52
Centro;Umbria;PG;A475;21,44;57,21;68,84;53,5;66,49;267,48
Nord Ovest;Lombardia;CO;A476;1;6;7;1,5;5;20,5
Isole;Sardegna;OR;A477;0;0;0;0;0;0
Isole;Sicilia;EN;A478;4;10,51;6;1;3;24,51
Nord Ovest;Piemonte;AT;A479;63,17;301,59;225,67;94,84;134,01;819,28
Isole;Sardegna;OR;A480;4;0;1;0;0;5
Sud;Abruzzo ;AQ;A481;1;7;0;0;1;9
Sud;Basilicata;PZ;A482;0;1,75;6,67;6;2;16,42
Sud;Campania;SA;A484;3;8;1;5;0;17
Sud;Abruzzo ;CH;A485;4,34;2;10;10,5;18,17;45,01
Centro;Lazio;FR;A486;3;7;2;9,5;12,5;34
Sud;Campania;SA;A487;0;4;2;0;1;7
Sud;Abruzzo ;TE;A488;4;10,08;12,67;15,97;11,33;54,05
Sud;Campania;AV;A489;0;18,25;27,08;14,69;21,5;81,52
Centro;Umbria;TR;A490;1;2,67;6,5;4;1;15,17
Nord Est;Friuli- Venezia Giulia;UD;A491;0;1;1;1;2;5
Isole;Sardegna;NU;A492;0;2;2;1;0;5
Centro;Marche;PS;A493;0;1;4;0;3,17;8,17
Isole;Sicilia;SR;A494;26;92,28;86,56;100,87;56,66;362,37
Sud;Campania;SA;A495;0;4,86;1,86;2,78;1,5;11
Centro;Toscana;MS;A496;5;29;28,31;15,39;12,13;89,83
Nord Ovest;Piemonte;VB;A497;3,5;3,5;1;2;1;11
Nord Ovest;Liguria;IM;A499;0;2;0;0;0;2
Nord Est;Veneto;BL;A501;6,92;25,12;12,52;7,42;2,5;54,48
Centro;Lazio;FR;A502;1;1;2;1;1,92;6,92
Isole;Sardegna;NU;A503;2;0;1;0;3;6
Nord Ovest;Liguria;GE;A506;2;7;9;6;6,62;30,62
Sud;Campania;AV;A508;2;8,5;4;3,75;6,41;24,66
Sud;Campania;AV;A509;7,2;43,04;100,55;104,13;113,53;368,45
Nord Ovest;Lombardia;BG;A511;1;1;3;0;0;5
Sud;Campania;CE;A512;38,09;46,05;72,75;118,33;93,52;368,74
Sud;Puglia;TA;A514;6;9;5,86;5,5;8;34,36
Sud;Abruzzo ;AQ;A515;24,01;82,97;87,17;58,08;47,17;299,4
Nord Est;Friuli- Venezia Giulia;PN;A516;21,5;51,67;17,11;16,61;58,16;165,05
Nord Ovest;Lombardia;BG;A517;4;18,5;3;2,14;2;29,64
Nord Ovest;Piemonte;TO;A518;5;38;59;29,77;46,16;177,93
Sud;Basilicata;PZ;A519;4;6,13;7,5;6;5,69;29,32
Nord Ovest;Valle d'Aosta;AO;A521;0;0;0;0;0;0
Isole;Sicilia;SR;A522;29,1;59,65;55,92;37,63;50,3;232,6
Nord Ovest;Piemonte;AL;A523;0;0;0;0;3;3
Nord Ovest;Piemonte;TO;A525;0;0;0;5;6;11
Nord Ovest;Lombardia;CR;A526;0;2;0;1;2;5
Nord Ovest;Piemonte;AT;A527;0;1;0;0;2;3
Nord Ovest;Lombardia;BG;A528;5;18,5;27,11;27;16;93,61
Nord Ovest;Lombardia;BS;A529;1;9;17,65;9,65;11,72;49,02
Nord Est;Friuli- Venezia Giulia;PN;A530;1;29,98;44,2;26,34;48,06;149,58
Nord Ovest;Lombardia;VA;A531;2;18;18;6,33;9,5;53,83
Nord Ovest;Lombardia;VA;A532;0;2;1;1;4;8
Nord Ovest;Lombardia;BG;A533;0;1;1;1;1;4
Nord Ovest;Piemonte;VB;A534;1;7,56;3;0,5;3,49;15,55
Sud;Campania;NA;A535;12,43;33,67;30,19;18,12;8,8;103,21
Nord Ovest;Liguria;IM;A536;3;7;2;1;1;14
Nord Ovest;Lombardia;PV;A538;0;0;0;6;2,67;8,67
Nord Est;Veneto;RO;A539;2;19,5;38,72;17,5;26;103,72
Nord Est;Veneto;VR;A540;0;3;5;0;9;17
Centro;Toscana;AR;A541;0;3,5;3,87;2,83;2;12,2
Sud;Calabria;CZ;A542;2;14;2;1;8,75;27,75
Sud;Calabria;RC;A544;0;0;1;2,5;0;3,5
Isole;Sicilia;PA;A546;31,42;59,47;66,41;73,13;51,17;281,6
Nord Est;Emilia-Romagna;RA;A547;0;40;24;21,5;52,21;137,71
Nord Ovest;Lombardia;PV;A550;0,2;0;3,17;2,2;1,67;7,24
Nord Est;Emilia-Romagna;RA;A551;0;5;1,5;3;4,82;14,32
Sud;Calabria;RC;A552;3,5;15,73;21,5;8,19;4;52,92
Nord Est;Friuli- Venezia Giulia;UD;A553;1;3,33;7;3,83;12,33;27,49
Nord Ovest;Piemonte;CN;A555;1;3;3;0;6;13
Nord Ovest;Lombardia;BG;A557;0;9;12,5;9,33;4;34,83
Centro;Toscana;LU;A560;3;19,5;17,67;13,61;23,67;77,45
Centro;Toscana;PT;A561;28,1;82,61;75,09;34,5;43,5;263,8
Centro;Toscana;PI;A562;7,5;59,5;71,25;49,75;96,7;284,7
Centro;Toscana;FI;A564;7;42,33;73,11;54,41;56,17;233,02
Nord Est;Emilia-Romagna;FO;A565;2,75;9,28;20,83;2;8,67;43,53
Sud;Campania;AV;A566;3,58;10,18;3;4,83;8,5;30,09
Sud;Molise;IS;A567;3;3;1,5;0,5;1;9
Nord Est;Veneto;PD;A568;0;3,5;5;5;7,89;21,39
Nord Ovest;Lombardia;BS;A569;2;32,9;28,33;20,57;29,82;113,62
Nord Ovest;Lombardia;CR;A570;1;8,34;15;8,17;10;42,51
Nord Ovest;Piemonte;CN;A571;18,03;32,33;15,17;11;23,47;100
Sud;Puglia;LE;A572;1;1,17;3;0,89;2;8,06
Nord Est;Emilia-Romagna;RE;A573;2;20,5;35,5;19;25,5;102,5
Nord Est;Veneto;RO;A574;0,5;2,5;0;1;7;11
Nord Ovest;Lombardia;MN;A575;1;13;10,33;10;15,83;50,16
Centro;Toscana;MS;A576;2,71;11,71;7,25;5,5;9,17;36,34
Centro;Lazio;VT;A577;2;10;9,83;3;5;29,83
Nord Ovest;Lombardia;BS;A578;5;6;5,58;5,25;2,83;24,66
Sud;Campania;CE;A579;0;2;1;1;0;4
Sud;Campania;AV;A580;1;3;6;6;8,34;24,34
Nord Ovest;Liguria;IM;A581;5;8,5;3;2;1;19,5
Nord Ovest;Piemonte;TO;A584;0;0;3;1;1;5
Nord Est;Emilia-Romagna;RE;A586;0;1,51;7,33;2,33;12,5;23,67
Nord Ovest;Piemonte;TO;A587;0;5;3,5;5;7;20,5
Nord Ovest;Piemonte;AT;A588;0;0;2;0;4;6
Nord Ovest;Piemonte;CN;A589;0;2;0;2;4;8
Nord Ovest;Piemonte;TO;A590;0;0;0;1;3;4
Nord Ovest;Piemonte;TO;A591;0;3;9,83;4,23;17;34,06
Isole;Sicilia;PA;A592;4;25,36;12,11;6,5;11,17;59,14
Nord Ovest;Liguria;SV;A593;0;1;0;0;0;1
Nord Ovest;Lombardia;LC;A594;4;19,67;10;3,67;5,5;42,84
Isole;Sardegna;CA;A597;0;2,89;0;1;4;7,89
Nord Ovest;Piemonte;TO;A599;3,83;4,5;0,5;1;0;9,83
Nord Ovest;Piemonte;VC;A600;0;0,5;1;0;0;1,5
Nord Ovest;Piemonte;VC;A601;0;0;0;0,75;0,33;1,08
Sud;Abruzzo ;AQ;A603;1;5;3;3,66;3;15,66
Sud;Basilicata;PZ;A604;0;3,75;7,75;0;0,5;12
Nord Ovest;Piemonte;AL;A605;0;2;3;3;7,22;15,22
Isole;Sardegna;SS;A606;0;1;0,5;0;1,17;2,67
Nord Ovest;Piemonte;TO;A607;1;10;15,5;3;4;33,5
Isole;Sardegna;OR;A609;0;0;0;1;1;2
Nord Ovest;Piemonte;VB;A610;1;2;3,5;0;3,5;10
Sud;Basilicata;PZ;A612;0,5;0;2;0;2,67;5,17
Nord Est;Veneto;PD;A613;1;6;3,08;7,03;12,86;29,97
Isole;Sardegna;OR;A614;0;0;0;1;0;1
Sud;Basilicata;PZ;A615;3;7,71;3;1;1;15,71
Sud;Molise;CB;A616;2,5;1;5,17;1,17;2,67;12,51
Sud;Campania;NA;A617;4;7;4,63;3,67;3;22,3
Nord Ovest;Lombardia;MI;A618;26;68,67;36,08;7,61;3,67;142,03
Nord Ovest;Lombardia;VA;A619;0;3;0,37;3,33;3,7;10,4
Isole;Sardegna;OR;A621;0;0;2;3;3,4;8,4
Nord Ovest;Piemonte;TO;A625;0;6,5;5;4;8,66;24,16
Centro;Marche;AN;A626;0;3;0;1,5;1,25;5,75
Centro;Lazio;VT;A628;1;1;3;3;1;9
Nord Ovest;Piemonte;CN;A629;0;0;0;1;2;3
Nord Ovest;Lombardia;BS;A630;3;1;2;2;6,67;14,67
Nord Ovest;Lombardia;BG;A631;1;1;1;1,83;1,75;6,58
Centro;Toscana;FI;A632;5,5;30,34;34;22,5;31,5;123,84
Centro;Toscana;FI;A633;0,5;9,3;12,13;4,13;6,13;32,19
Nord Ovest;Lombardia;PV;A634;0;0;1;2;0,67;3,67
Nord Est;Veneto;PD;A637;0;0;0;0;0;0
Isole;Sicilia;ME;A638;6;37,24;46,28;30,17;37,89;157,58
Nord Est;Friuli- Venezia Giulia;PN;A640;0;2;2,25;2;3;9,25
Nord Ovest;Valle d'Aosta;AO;A643;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A645;0;4;1;1,5;4;10,5
Nord Est;Emilia-Romagna;PR;A646;2,72;4,78;6,75;7,5;13,38;35,13
Nord Ovest;Liguria;SV;A647;2;2;1;3;2;10
Nord Est;Veneto;VR;A650;19,02;80,16;31,6;16,25;22,8;169,83
Nord Ovest;Piemonte;TO;A651;58,17;93,76;34,03;10;6,82;202,78
Nord Ovest;Lombardia;MI;A652;13;87,02;61,58;36,5;22,11;220,21
Nord Ovest;Piemonte;NO;A653;0;0;1;1;0;2
Isole;Sardegna;OR;A655;0;0;0;0;1;1
Sud;Abruzzo ;AQ;A656;0;1;0;0;0;1
Centro;Toscana;LU;A657;0;20,84;14,14;21,67;31,58;88,23
Nord Ovest;Liguria;GE;A658;4,5;10;6,42;10,51;9;40,43
Nord Ovest;Piemonte;CN;A660;1;21,42;17,67;15,11;17,17;72,37
Nord Ovest;Lombardia;BS;A661;0;1,5;3;2;1,17;7,67
Sud;Puglia;BA;A662;339,44;980,83;1109,06;651,56;424,06;3504,95
Isole;Sardegna;NU;A663;1;11;5,5;3;3;23,5
Nord Ovest;Lombardia;BG;A664;0;2;9;13;6,67;30,67
Nord Est;Emilia-Romagna;BO;A665;1;22,5;19,4;11,5;20,63;75,03
